character_skill_nodes_tables
5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_main_skill_all_magic_death_01_spirit_leech	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_0	20		0	0	True
	wh_main_skill_all_magic_fire_04_kindleflame	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_1_1	21		0	0	True
	wh_main_skill_all_magic_fire_03_flaming_sword_of_rhuin	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_1_2	22		0	0	True
	wh_main_skill_all_magic_fire_05_the_burning_head	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_1_3	23		0	0	True
	wh_main_skill_all_magic_metal_02_plague_of_rust	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_1_4	24		0	0	True
	wh_main_skill_all_magic_all_06_evasion_slann_destruction	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_2	25		0	4	True
	wh_main_skill_all_magic_metal_03_metalshifting	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_3_1	26		0	0	True
	wh_main_skill_all_magic_death_03_life_leeching	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_3_2	27		0	0	True
	wh_main_skill_all_magic_death_10_the_purple_sun_of_xereus	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_3_3	28		0	0	True
	wh_main_skill_all_magic_metal_10_final_transmutation	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_3_4	29		0	0	True
	wh_main_skill_all_magic_all_11_arcane_conduit_slann_destruction	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_4	30		0	4	True
	wh2_main_skill_all_magic_death_dummy_spirit_leech_aspect_of_the_dreadknight	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_destruction_dummy	32		0	0	False
	wh2_main_skill_magic_shadow_mystifying_miasma_loremaster	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_0	33		0	0	True
	wh_dlc05_skill_magic_life_life_bloom	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_1_1	34		0	0	True
	wh2_main_skill_magic_life_wizard_earth_blood_lord	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_1_2	35		0	0	True
	wh2_main_skill_magic_shadow_enfeebling_foe_lord	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_1_3	36		0	0	True
	wh2_main_skill_magic_beasts_panns_impenetrable_pelt_lord	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_1_4	37		0	0	True
	wh_main_skill_all_magic_all_06_evasion_slann_debuff	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_2	38		0	4	True
	wh_dlc05_skill_magic_shadow_smoke_and_mirrors	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_3_1	39		0	0	True
	wh_dlc03_skill_magic_beasts_wild_heart	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_3_2	40		0	0	True
	wh2_main_skill_magic_beasts_the_curse_of_anraheir_lord	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_3_3	41		0	0	True
	wh2_main_skill_magic_life_wizard_regrowth_lord	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_3_4	42		0	0	True
	wh_main_skill_all_magic_all_11_arcane_conduit_slann_debuff	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_4	43		0	4	True
	wh_dlc05_skill_magic_shadow_mystifying_miasma_dummy	wh2_main_skill_node_set_lzd_slann_mage_priest		3	wh2_main_skill_node_lzd_slann_mage_priest_debuffs_dummy	44		0	0	False
