effect_bundles_tables	3
key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect
wh2_dlc09_books_of_nagash_reward_1	 	First Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_2	 	Second Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_3	 	Third Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_3_army	 	Third Book of Nagash	force	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_3_region_occupy	 	Third Book of Nagash	region	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_3_region_sack	 	Third Book of Nagash	region	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_4	 	Fourth Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_5	 	Fifth Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_6	 	Sixth Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_7	 	Seventh Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_8	 	Eighth Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_books_of_nagash_reward_9	 	Ninth Book of Nagash	faction	1	books_of_nagash.png	false
wh2_dlc09_bundle_book_rogue_army	[HIDDEN]	[HIDDEN]	force	0		true
wh2_dlc09_bundle_captives_enslave_tomb_kings	Binding the souls of its enemies has improved this army's replenishment.	Bind Souls	force	1	replenishment.png	true
wh2_dlc09_bundle_captives_release_tomb_kings	This army marches on.	Endless March	force	1	campaign_movement.png	true
wh2_dlc09_bundle_force_siege_equipment_tmb	[HIDDEN] Adds TOMB KING siege equipment	[HIDDEN]	force	0		true
wh2_dlc09_bundle_magic_standard_banner_of_the_hidden_dead	 	Banner of the Hidden Dead	character	1	public_order.png	true
wh2_dlc09_bundle_magic_standard_standard_of_the_undying_legion	 	Standard of the Undying Legion	character	1	public_order.png	true
wh2_dlc09_bundle_quest_battle_full_hide	 	 	force	0	 	true
