effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_vanish_clc_attribute_melee_attack_4	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	16	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_3	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	12	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_2	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	8	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_1	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	4	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_0	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_minus_1	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	-4	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_minus_2	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	-8	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_minus_3	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	-12	start_turn_completed
wh2_vanish_clc_attribute_melee_attack_minus_4	wh_main_effect_character_stat_mod_melee_attack	force_to_general_own	-16	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_4	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	16	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_3	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	12	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_2	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	8	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_1	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	4	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_0	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_minus_1	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	-4	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_minus_2	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	-8	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_minus_3	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	-12	start_turn_completed
wh2_vanish_clc_attribute_melee_defence_minus_4	wh_main_effect_character_stat_mod_melee_defence	force_to_general_own	-16	start_turn_completed
wh2_vanish_clc_attribute_armour_4	wh_main_effect_character_stat_mod_armour	force_to_general_own	20	start_turn_completed
wh2_vanish_clc_attribute_armour_3	wh_main_effect_character_stat_mod_armour	force_to_general_own	15	start_turn_completed
wh2_vanish_clc_attribute_armour_2	wh_main_effect_character_stat_mod_armour	force_to_general_own	10	start_turn_completed
wh2_vanish_clc_attribute_armour_1	wh_main_effect_character_stat_mod_armour	force_to_general_own	5	start_turn_completed
